ComplexID	Name	GeneList
336	DNA ligase IV-XRCC4-AHNK complex	3981, 79026, 7518
338	40S ribosomal subunit, cytoplasmic	6218, 3921, 6187, 6188, 6206, 6223, 6203, 6193, 6204, 6224, 6189, 6201, 6202, 6210, 6217, 6208, 6228, 6222, 6235, 6207, 6205, 6191, 6194, 6209, 6229, 6230, 6231, 6234, 2197, 6233, 6227
343	Sarcoglycan-sarcospan complex SG-SPN	6445, 8082, 6443, 6442, 6444
348	DNA ligase IV-XRCC4 complex	3981, 7518
350	DNA ligase IV-XRCC4-PNK complex	3981, 7518, 11284
353	DNA ligase IV-condensin complex	10592, 3981, 10051
359	DNA ligase IV-XRCC4-XLF complex	3981, 7518, 79840
361	Artemis-DNA-PK complex	5591, 64421
362	DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	5423, 7515, 3980, 11284
365	DNA ligase III-XRCC1 complex	7515, 3980
368	ERCC1-ERCC4-MSH2 complex	2067, 4436, 2072
369	MSH2-MSH6-PMS2-MLH1 complex	4292, 4436, 2956, 5395
370	MSH2-MSH6-PMS1-MLH1 complex	4292, 4436, 2956, 5378
376	PCNA-MutS-alpha-MutL-alpha-DNA complex	5111, 4292, 4436, 2956, 5395
379	MutL-alpha complex	4292, 5395
380	MutL-beta complex	4292, 5378
386	Ubiquitin E3 ligase (UBADC1, RNF123)	63891, 10422
387	MCM complex	4172, 4173, 4174, 4176, 4171, 4175
390	Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)	6500, 8454, 26190
391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	9978, 8451, 1642
393	Succinyl-CoA synthetase, GDP-forming	8802, 8801
394	Succinyl-CoA synthetase, ADP-forming	8802, 8803
404	Isocitrate dehydrogenase, cytoplasmic	3417
407	Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)	2977, 2983
408	Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)	2982, 2983
415	EXO1-MLH1-PMS2 complex	4292, 5395, 9156
419	Farnesyltransferase	2339, 2342
422	CAV3-DAG1 complex	859, 1605
424	EXO1-MLH1-PCNA complex	5111, 4292, 9156
425	MSH4-MSH5-GPS2 complex	4438, 4439, 2874
426	Meprin A	4224, 4225
428	Molybdopterin synthase	4338, 4338
429	Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)	5289, 30849
430	18S U11/U12 snRNP	1665, 23451, 6628, 6635, 6636, 6637, 6632, 6633, 6634, 4904, 10992, 23450, 10262, 8233, 11066, 154007, 10594, 10081, 85437, 55599, 79622, 83443, 55954, 51639
432	N-NOS-CHIP-HSP70-1 complex	3303, 4842, 10273
433	BASC complex (BRCA1-associated genome surveillance complex)	4683, 5984, 5982, 5981, 672, 4292, 4436, 4361, 2956, 641, 472, 10111
434	BASC (Ab 80) complex (BRCA1-associated genome surveillance complex)	5984, 5982, 5981, 672, 4292, 4436, 2956, 641
435	BASC (Ab 81) complex (BRCA1-associated genome surveillance complex)	5984, 5982, 5981, 672, 4292, 472
436	BASC (Ab C-20) complex (BRCA1-associated genome surveillance complex)	672, 2956, 10111
438	GCN5-TRRAP histone acetyltransferase complex	8464, 10474, 27097, 672, 4436, 2956, 6881, 6880, 2648, 8295
441	TFTC-type histone acetyl transferase complex	9282, 9862, 2099, 5469, 2648, 9968, 9440, 9969, 9439, 10025, 8295
443	BP-SMAD complex	571, 4093, 10804, 5702, 2071, 4601, 7071, 7045
460	CRB1-MPP5- PATJ complex	23418, 64398, 10207
461	CRB1-MPP4-MPP5 complex	23418, 64398, 58538
462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	6874, 6314, 8464, 10474, 27097, 6878, 6881, 23450, 6877, 6879, 6883, 6880, 6873, 2648, 8295, 10629
463	TFIID complex	6874, 6908, 6872, 6878, 6881, 6877, 6884, 6882, 6879, 6883, 6880
466	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	5663, 23385, 51107, 55851
467	Gamma-secretase complex (APH1B, PSEN2, PSENEN, NCSTN)	5664, 83464, 23385, 55851
468	Gamma-secretase complex (APH1A, PSEN2, PSENEN, NCSTN)	5664, 23385, 51107, 55851
469	TFIID-beta complex	6874, 6908, 6872, 6878, 6881, 6877, 6884, 6882, 6879, 6883, 6880, 6873
470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	6874, 6314, 8464, 10474, 27097, 6878, 6881, 23450, 6877, 6884, 6879, 6883, 6880, 6873, 2648, 8295, 10629
471	PCAF complex	6871, 8464, 10474, 27097, 6881, 6883, 6880, 8850, 8295, 10629
472	Prolyl 4-hydroxylase (alpha(I)-type)	5034, 5033
474	Prolyl 4-hydroxylase (alpha(III)-type)	5034, 283208
475	STAGA complex	8464, 10474, 27097, 9913, 6881, 23450, 6883, 6880, 2648, 117143, 8295, 10629
476	STAGA complex	6314, 8464, 10474, 27097, 9913, 6881, 23450, 6883, 6880, 2648, 117143, 8295, 10629
478	STAGA core complex	8464, 6880, 2648
485	TFIID complex, B-cell specific	6874, 6908, 6872, 6878, 6881, 6877, 6884, 6882, 6879, 6883, 6880, 6875
486	WIP-WASp-actin-myosin-IIa complex	7456, 10627, 4627, 7454, 4637, 59
490	TFIIA complex	2957, 2958
492	DA complex	6874, 6908, 6872, 6878, 2957, 2958, 6881, 6877, 6884, 6882, 6879, 6883, 6880, 83860, 6873
493	DAB complex	6874, 6908, 6872, 6878, 2957, 2958, 2959, 6881, 6877, 6884, 6882, 6879, 6883, 6880, 83860, 6873
497	TAF4-TAF12 subcomplex of TFIID complex	6874, 6883
499	RYK-WNT1 complex	7471, 6259
500	RYK-WNT3A complex	6259, 89780
501	DVL1-RYK complex	1855, 6259
508	TFIID complex	6874, 6908, 6872, 6878, 6881, 6877, 6882, 6879, 6883, 6880
509	TFIID complex	6874, 6908, 6872, 6878, 6881, 6877, 6884, 6882, 6879, 6883, 6880, 8148
513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	6874, 6314, 8464, 10474, 27097, 6878, 6881, 23450, 6877, 6879, 6883, 6880, 6873, 2648, 51616, 8295, 10629
514	TFIID-beta complex	6874, 6908, 6872, 6878, 6881, 6877, 6884, 6882, 6879, 6883, 6880, 51616
517	AKAP5-PRKAR2A-PPP3CA complex	5576, 9495, 5530
518	AKAP250-PKA-PDE4D complex	5566, 9590, 5144
519	AMY-1-S-AKAP84-RII-beta complex	5577, 8165, 26292
520	KCNQ1 macromolecular complex	5576, 5566, 3784, 5499, 10142
521	Polycystin-1-E-cadherin-beta-catenin complex	999, 1499, 5310
522	Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex	999, 1499, 5310, 2319
525	TIP60 histone acetylase complex	86, 10524, 10856, 8607, 8295
527	TRPC3-TRPC4 channel complex, redox-sensitive	7222, 7223
528	NuA4/Tip60-HAT complex	8089, 86, 9643, 10524, 57634, 10902, 80314, 64769, 55929, 55257, 54556, 10933, 10856, 8607, 8295
529	NuA4/Tip60-HAT complex	8089, 86, 9643, 6944, 10524, 57634, 10902, 80314, 64769, 55929, 55257, 54556, 10933, 10856, 8607, 8295
531	XPA-ERCC1-ERCC4 complex	2067, 7507, 2072
533	IMP3-IMP4-MPP10 complex	10199, 92856, 55272
535	TRAP complex	9282, 9862, 10001, 7067, 892, 9412, 5469, 9442, 9968, 84246, 29079, 9440, 9969, 9967, 10025, 51003
536	TRPC1-TRPC3-TRPC7 complex	7220, 7222, 57113
541	IGF1-IGFBP3-ALS complex	3479, 3486, 3483
547	SMCC complex	9282, 9862, 10001, 892, 1024, 9412, 5469, 9442, 9968, 29079, 9440, 9969, 9967, 10025
548	DRIP complex	9443, 9282, 9862, 10001, 9441, 7421, 6257, 5469, 9968, 29079, 9440, 9969, 9439, 10025
550	NOS3-CAV1-NOSTRIN complex	4846, 857, 115677
551	core-histone (H2A/H2B/H3/H4)-TDIF2-TDT complex	1791, None, None, 8338, 8349, 30836
552	IFNAR1-IFNAR2-IFNB1 complex	3456, 3454, 3455
553	RHOA-IP3R-TRPC1 complex	7220, 387, 3708
554	PBAF complex	86, 6597, 6598, 196528, 55193, 6601, 6599, 6603, 6605, 6602
555	BAF complex	8289, 86, 6597, 6598, 6601, 6599, 6603, 6605, 6602
556	PBAF complex, BAF200-specific	86, 6597, 6598, 196528, 6601, 6599, 6605, 6602
557	TRP1-G alpha-11-IP3R3-CAV1 signaling complex	2767, 7220, 857, 3710
558	Channel complex TRPM6-TRPM7	54822, 140803
559	Decapping complex	1656, 23644, 167227, 80153, 55802
561	LSm1-7 complex	27257, 27258, 11157, 51690, 57819, 23658, 25804
562	LSm2-8 complex	51691, 27258, 11157, 51690, 57819, 23658, 25804
563	F1F0-ATPase, mitochondrial	10476, 10632, 4508, 4509, 516, 506, 522, 515, 498, 513, 509, 539, 9551, 514, 521, 93974
564	BAF complex	8289, 86, 6595, 6598, 6601, 6599, 6605, 6602
565	PBAF complex (Polybromo- and BAF containing complex)	86, 6597, 6598, 196528, 55193, 6601, 6599, 6605, 6602
566	BAF complex	8289, 86, 6597, 60, 6598, 6601, 6599, 6605, 6602
570	p300-CBP-p270-SWI/SNF complex	8289, 6597, 2033, 6598, 6601, 1387, 6599
571	p300-CBP-p270 complex	8289, 2033, 1387
575	ABIN2-NFKB1-MAP3K8 complex	4790, 1326, 79155
577	FHL2-p53-HIPK2 complex	7157, 2274, 28996
585	Mi2/NuRD-BCL6-MTA3 complex	53615, 604, 3065, 1108, 57504
587	NuRD.1 complex	53615, 5928, 9112, 3065, 1108, 5931, 3066
591	SAP complex (Sin3-associated protein complex)	8819, 5928, 3065, 5931, 51742, 3066, 25942, 79595
592	mSin3A corepressor complex	8819, 5928, 3065, 5931, 51742, 3066, 25942, 79595, 64426
595	Kv4.2-DPP10 channel complex	57628, 3751
605	TIM23 subcomplex (TIMM17A, TIMM23, TIMM44), mitochondrial	100287932, 10469, 10440
610	MSL complex	284058, 10943, 84148, 55167
612	CTF18-CTF8-DCC1 complex	54921, 63922, 79075
613	CTF18-CTF8-DCC1-RFC3 complex	54921, 5983, 63922, 79075
614	NRD complex (Nucleosome remodeling and deacetylation complex)	23028, 5928, 1107, 9112, 3065, 1108, 3066
617	CASK-LIN7C-APBA1 complex	8573, 320, 55327
619	MRE11A-RAD50-NBN-TRF2 complex	4683, 4361, 7014, 10111
620	CoREST-HDAC complex	23028, 7764, 3065, 3066, 51317, 10362, 23186
622	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2)	7428, 8453, 6921, 6923
623	Small TIM chaperone complex (TIMM9, TIMM10), mitochondrial	26519, 26520
624	LSD1-CoREST complex	23028, 23186
626	LSD1 complex	23028, 7764, 3303, 3304, 1487, 3065, 6239, 51317, 112885, 10363, 10362, 55758, 7750, 23186
627	MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)	4683, 4361, 10111, 8295
629	BLM-TRF2 complex	641, 9519
631	AuroraA-chTOG-Tacc1  complex	6790, 6867, 9793
632	Anti-HDAC2 complex	23028, 9219, 2969, 5928, 1107, 9112, 3065, 9203, 23199, 1108, 5931, 3066, 51317, 25942, 10362, 7750, 23186
633	anti-BHC110 complex	23028, 7764, 2969, 3065, 9203, 23199, 3066, 51317, 10362, 7750, 23186
634	XFIM complex	23028, 2969, 3065, 9203, 3066
635	AGPS-GNPAT complex	8540, 8443
636	BHC complex	23028, 3065, 3066, 51317, 10362, 23186
641	RANBPM-SMP1 complex	23585, 10048
642	CtBP complex	8535, 9839, 23028, 7764, 6935, 1488, 1487, 3065, 9658, 6239, 3066, 84458, 10919, 79813, 55758, 23186, 9425
643	CtBP core complex	23028, 6935, 1488, 1487, 3065, 3066, 10919, 79813, 23186
644	ASPP1-SAM68 complex	10657, 23368
646	HDAC1-associated protein complex	23028, 9219, 53615, 5928, 1107, 3065, 5931, 8932, 23186
648	HDAC1-associated core complex cI	23028, 3065, 23186
649	HDAC1-associated core complex cII	9219, 53615, 5928, 1107, 3065, 5931, 54815, 8932, 23186
650	HDAC2-asscociated core complex	9219, 53615, 5928, 1107, 5931, 54815, 3066
652	AP3-BLOC1 complex	8546, 8943, 23557, 2647, 388552, 282991, 63915, 1176, 84062, 55330, 26258, 26985
654	BLOC1-BLOC2 complex	23557, 2647, 388552, 282991, 79803, 63915, 84343, 84062, 55330, 26258, 11234
655	HSF1-HSF2 complex	3297, 3298
656	VPS35-VPS29-VPS26A complex	9559, 55737, 51699
